species,lev_up,lev_low,lam,a_stein,e_up,e_low,g_up,g_low,xmin,xmax
H2O,0_1_0|7_3_4,0_0_0|6_2_5,5.2357,1.27,3543.52783,795.51605,45,39.0,5.2337,5.2378
H2O,0_1_0|10_3_8,0_0_0|9_2_7,5.34529,5.813,4420.96729,1729.29675,63,57.0,5.343,5.3475
H2O,0_1_0|8_2_7,0_0_0|7_1_6,5.58362,7.856,3589.98706,1013.20685,51,45.0,5.5807,5.5856
H2O,0_1_0|9_3_6,0_0_0|8_4_5,5.61179,2.009,4179.17236,1615.3269,57,51.0,5.6092,5.6135
H2O,0_1_0|7_2_6,0_0_0|6_1_5,5.63179,6.867,3335.86157,781.1203,15,13.0,5.629,5.6347
H2O,0_1_0|3_3_0,0_0_0|2_2_1,5.64107,5.815,2744.63306,194.09331,21,15.0,5.6383,5.6433
H2O,0_1_0|7_4_4,0_0_0|7_3_5,5.70511,3.115,3696.94849,1175.04065,15,15.0,5.7031,5.7068
H2O,0_1_0|8_4_4,0_0_0|8_3_5,5.80878,4.529,3987.84351,1510.94263,17,17.0,5.8068,5.8115
H2O,0_1_0|6_3_4,0_0_0|5_4_1,6.01912,0.6975,3268.4873,878.14471,39,33.0,6.0166,6.021
H2O,0_1_0|4_2_2,0_0_0|4_1_3,6.07016,7.676,2766.62573,396.37869,9,9.0,6.0682,6.0726
H2O,0_1_0|3_2_1,0_0_0|3_1_2,6.07545,6.863,2617.61743,249.43471,21,21.0,6.0726,6.078
H2O,0_1_0|2_0_2,0_0_0|1_1_1,6.14316,3.778,2395.51221,53.432,5,3.0,6.1402,6.1455
H2O,0_1_0|1_1_0,0_0_0|1_0_1,6.1854,10.94,2360.32202,34.23483,9,9.0,6.1823,6.1885
H2O,0_1_0|1_0_1,0_0_0|1_1_0,6.34443,12.63,2328.74243,60.96342,9,9.0,6.3416,6.3474
H2O,0_1_0|2_0_2,0_0_0|2_1_1,6.37028,10.99,2395.51221,136.93689,5,5.0,6.3673,6.3723
H2O,0_1_0|2_2_1,0_0_0|3_1_2,6.37373,1.14,2506.78882,249.43471,15,21.0,6.3718,6.3764
H2O,0_1_0|6_4_3,0_0_0|7_3_4,6.42663,0.5998,3450.7356,1211.96313,39,45.0,6.4245,6.4284
H2O,0_1_0|5_1_4,0_0_0|5_2_3,6.43355,11.52,2878.79541,642.4292,33,33.0,6.4308,6.4364
H2O,0_1_0|2_1_2,0_0_0|3_0_3,6.49224,7.211,2412.91724,196.76958,15,21.0,6.4889,6.4953
H2O,0_1_0|7_3_4,0_0_0|7_4_3,6.52896,9.451,3543.52783,1339.84241,45,45.0,6.526,6.5318
H2O,0_1_0|9_0_9,0_0_0|9_1_8,6.97738,4.239,3614.61426,1552.55469,57,57.0,6.9743,6.9803
H2O,0_1_0|3_2_2,0_0_0|4_3_1,6.99328,8.566,2609.6355,552.26367,7,9.0,6.9907,6.9954
H2O,0_1_0|4_2_3,0_0_0|5_3_2,7.14692,5.629,2745.20972,732.06702,27,33.0,7.1444,7.1502
H2O,0_1_0|7_2_5,0_0_0|8_3_6,7.21253,4.477,3442.40674,1447.57617,45,51.0,7.21,7.2155
H2O,0_1_0|5_3_2,0_0_0|6_4_3,7.27924,8.014,3065.30591,1088.75793,33,39.0,7.2759,7.2819
H2O,0_1_0|5_3_3,0_0_0|6_4_2,7.30659,7.835,3059.42603,1090.27661,11,13.0,7.3036,7.3092
H2O,0_1_0|10_5_6,0_0_0|11_6_5,8.0696,5.949,4867.76416,3084.8042,63,69.0,8.0664,8.072
